Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1533420000.0 2017.6 217 0 103 NA NA NA 299 0 179 NA NA NA 2145 615 1954 NA NA NA 2384 704 2216 NA NA NA
1533420000.0 2017.8 95 NA NA NA NA NA 162 NA NA NA NA NA 742 NA NA NA NA NA 1185 NA NA NA NA NA
1533420000.0 2017.9 215 0 106 NA NA NA 299 0 179 NA NA NA 1986 611 1929 NA NA NA 2298 796 2178 NA NA NA
1533420000.0 202.0 NA 105 276 0 NA NA NA 173 388 0 NA NA NA 1973 5851 1709 NA NA NA 3040 6302 1834 NA NA
1533420000.0 203.0 NA 113 263 0 NA NA NA 218 388 0 NA NA NA 2256 6797 1841 NA NA NA 3262 7281 1959 NA NA
1533420000.0 205.0 NA 96 250 0 NA NA NA 173 388 0 NA NA NA 2212 7063 2002 NA NA NA 3632 8193 2109 NA NA
1533420000.0 25.0 NA 97 247 0 74 NA NA 217 383 0 136 NA NA 2352 5267 1115 1029 NA NA 2539 5664 1223 1288 NA
1533420000.0 25408.0 247 0 109 NA NA NA 403 0 179 NA NA NA 4559 587 1862 NA NA NA 5183 689 2082 NA NA NA
1533420000.0 280.0 98 75 221 0 NA NA 203 165 336 0 NA NA 6105 1059 6800 1825 NA NA 7136 1585 9771 1956 NA NA
1533420000.0 281.0 75 88 262 0 NA NA 234 211 382 0 NA NA 5728 1397 5824 2629 NA NA 7419 2225 8152 2918 NA NA
1533420000.0 300.0 56 116 222 0 NA NA 128 228 373 0 NA NA 1638 1291 3357 1152 NA NA 2387 2224 3784 1239 NA NA
1533420000.0 301.0 60 121 220 0 NA NA 128 228 373 0 NA NA 2393 1270 3563 1205 NA NA 3262 2134 4285 1317 NA NA
1533420000.0 302.0 59 120 234 0 NA NA 128 228 373 0 NA NA 1593 1328 2905 1032 NA NA 2459 2179 3356 1123 NA NA
1533420000.0 4007.0 41 0 0 NA NA NA 101 0 0 NA NA NA 512 291 2886 NA NA NA 669 661 3332 NA NA NA
1533420000.0 4008.0 41 0 0 NA NA NA 101 0 0 NA NA NA 514 299 2925 NA NA NA 702 661 3518 NA NA NA
1533420000.0 503.0 30 0 NA NA NA NA 84 0 NA NA NA NA 905 419 NA NA NA NA 1388 769 NA NA NA NA
1533420000.0 504.0 31 0 NA NA NA NA 84 0 NA NA NA NA 870 462 NA NA NA NA 1374 835 NA NA NA NA
1533420000.0 505.0 32 0 NA NA NA NA 84 0 NA NA NA NA 855 447 NA NA NA NA 1391 914 NA NA NA NA
1533420000.0 506.0 31 0 NA NA NA NA 84 0 NA NA NA NA 887 470 NA NA NA NA 1305 1068 NA NA NA NA
1533420000.0 507.0 32 0 NA NA NA NA 83 0 NA NA NA NA 983 467 NA NA NA NA 1806 809 NA NA NA NA
1533420000.0 508.0 31 0 NA NA NA NA 84 0 NA NA NA NA 837 407 NA NA NA NA 1263 690 NA NA NA NA
1533420000.0 509.0 32 0 NA NA NA NA 84 0 NA NA NA NA 864 445 NA NA NA NA 1300 890 NA NA NA NA
1533420000.0 510.0 31 0 NA NA NA NA 84 0 NA NA NA NA 1013 461 NA NA NA NA 1541 863 NA NA NA NA
1533420000.0 511.0 37 0 NA NA NA NA 88 0 NA NA NA NA 32878 413 NA NA NA NA 36807 550 NA NA NA NA
1533420000.0 512.0 14 32 0 NA NA NA 62 89 0 NA NA NA 4869 883 419 NA NA NA 11340 1317 582 NA NA NA
1533420000.0 513.0 14 35 0 NA NA NA 63 89 0 NA NA NA 1275 885 402 NA NA NA 2596 1308 628 NA NA NA
1533420000.0 514.0 14 32 0 NA NA NA 65 89 0 NA NA NA 775 916 401 NA NA NA 1648 1580 685 NA NA NA
1533420000.0 515.0 14 34 0 NA NA NA 62 89 0 NA NA NA 3972 830 435 NA NA NA 7789 1372 790 NA NA NA
1533420000.0 516.0 14 35 0 NA NA NA 63 89 0 NA NA NA 1254 855 399 NA NA NA 2554 1388 591 NA NA NA
1533420000.0 517.0 14 33 0 NA NA NA 65 89 0 NA NA NA 6138 865 404 NA NA NA 7543 1377 616 NA NA NA
1533420000.0 518.0 14 34 0 NA NA NA 62 88 0 NA NA NA 3965 950 394 NA NA NA 7726 1628 623 NA NA NA
1533420000.0 519.0 14 33 0 NA NA NA 63 89 0 NA NA NA 1332 854 453 NA NA NA 2679 1347 927 NA NA NA
1533420000.0 520.0 14 31 0 NA NA NA 65 89 0 NA NA NA 6155 826 467 NA NA NA 7670 1262 870 NA NA NA
1533420000.0 521.0 15 34 0 NA NA NA 63 89 0 NA NA NA 1248 893 398 NA NA NA 2843 1372 690 NA NA NA
1533420000.0 522.0 14 31 0 NA NA NA 63 89 0 NA NA NA 4370 902 434 NA NA NA 8575 1583 875 NA NA NA
1533420000.0 524.0 14 32 0 NA NA NA 66 89 0 NA NA NA 6359 873 417 NA NA NA 8239 1315 753 NA NA NA
1533420000.0 525.0 14 38 0 NA NA NA 62 89 0 NA NA NA 698 403 187 NA NA NA 988 531 288 NA NA NA
1533420000.0 526.0 14 36 0 NA NA NA 62 89 0 NA NA NA 2192 404 187 NA NA NA 6167 521 268 NA NA NA
1533420000.0 527.0 14 34 0 NA NA NA 66 89 0 NA NA NA 4130 425 202 NA NA NA 4429 544 310 NA NA NA
1533420000.0 528.0 14 33 0 NA NA NA 62 89 0 NA NA NA 724 401 255 NA NA NA 1027 515 581 NA NA NA
